title,content
 Statistical Independence ,"  
It is time for science to retire the fiction of statistical independence. 
The world is massively interconnected through causal chains. Gravity alone causally connects all objects with mass. The world is even more massively correlated with itself. It is a truism that statistical correlation does not imply causality. But it is a mathematical fact that statistical independence implies no correlation at all. None. Yet events routinely correlate with one another. The whole focus of most big-data algorithms is to uncover just such correlations in ever larger data sets. 
Statistical independence also underlies most modern statistical sampling techniques. It is often part of the very definition of a random sample. It underlies the old-school confidence intervals used in political polls and in some medical studies. It even underlies the distribution-free bootstraps or simulated data sets that increasingly replace those old-school techniques. 
White noise is what statistical independence should sound like. 
The hisses and pops and crackles of true white-noise samples are all statistically independent of one another. This holds no matter how close the noise samples are in time. That means the frequency spectrum of white noise is flat across the entire spectrum. Such a process does not exist because it would require infinite energy. That has not stopped generations of scientists and engineers from assuming that white noise contaminates measured signals and communications. 
Real noise samples are not independent. They correlate to some degree. Even the thermal noise that bedevils electronic circuits and radar devices has only an approximately flat frequency spectrum and then over only part of the spectrum. Real noise does not have a flat spectrum. Nor does it have infinite energy. So real noise is colored pink or brown or some other strained color metaphor that depends on how far the correlation reaches among the noise samples. Real noise is not and cannot be white.
A revealing problem is that there are few tests for statistical independence. Most tests tell at most whether two variables (not the data itself) are independent. And most scientists would be hard pressed to name even them. 
So the overwhelming common practice is simply to assume that sampled events are independent. Just assume that the data is white. Just assume that the data are not only from the same probability distribution but that the data are statistically independent. An easy justification for this is that almost everyone else does it and it's in the textbooks. This assumption has to be one of the most widespread instances of groupthink in all of science.
The reason we so often assume statistical independence is not its real-world accuracy. We assume statistical independence because of its armchair appeal: It makes the math easy. It often makes the intractable tractable.  
Statistical independence splits compound probabilities into products of individual probabilities. (Then often a logarithm converts the probability product into a sum because it is easier still to work with sums than products). And it is far easier to lecture would-be gamblers that successive coin flips are independent than to conduct the fairly extensive experiments with conditional probabilities required to factually establish such a remarkable property. That holds because in general a compound or joint probability always splits into a product of conditional probabilities. The so-called multiplication rule guarantees this factorization. Independence further reduces the conditional probabilities to unconditional ones. Removing the conditioning removes the statistical dependency. 
Andrei Markov made the first great advance over independence or whiteness when he studied events that statistically depend on only the immediate past. That was over a century ago. 
We still wrestle with the math of such Markov chains and find surprises. The Google search algorithm rests in large part on finding the equilibrium eigenvector of a finite Markov chain. The search model assumes that Internet surfers jump at random from web page to web page much as a frog hops from lily pad to lily pad. The jumps and hops are not statistically independent. But they are probabilistic. The next web page you choose depends on the page you are now looking at. Real web surfing may well involve probabilistic dependencies that reach back to several visited web sites. It is a good bet that the human mind is not a Markov process. Yet relaxing independence to even one-step or two-step Markov dependency has proven a powerful way to model diverse streams of data from molecular diffusion to speech translation.
It takes work to go beyond the simple Markov property where the future depends only the present and not on the past. But we have ever more powerful computers that do just such work. And many more insights will surely come from the brains of motivated theoreticians. Giving up the crutch of statistical independence can only spur more such results.
Science needs to take seriously its favorite answer: It depends.
 "
 Bias is Always Bad ,"  
Being biased seems like a bad thing. Intuitively, rationality and objectivity are equated—when faced with a difficult question, it seems like a rational agent shouldn't have a predisposition to favor one answer over another. If a new algorithm designed to find objects in images or interpret natural language is described as being biased, it sounds like a poor algorithm. And when psychology experiments show that people are systematically biased in the judgments they form and the decisions they make, we begin to question human rationality.
But bias isn't always bad. In fact, for certain kinds of questions, the only way to produce better answers is to be biased.
Many of the most challenging problems that humans solve are known as inductive problems—problems where the right answer cannot be definitively identified based on the available evidence. Finding objects in images and interpreting natural language are two classic examples. An image is just a two-dimensional array of pixels—a set of numbers indicating whether locations are light or dark, green or blue. An object is a three-dimensional form, and many different combinations of three-dimensional forms can result in the same pattern of numbers in a set of pixels. Seeing a particular pattern of numbers doesn't tell us which of these possible three-dimensional forms are present: we have to weigh the available evidence and make a guess. Likewise, extracting the words from the raw sound pattern of human speech requires making an informed guess about the particular sentence a person might have uttered.
The only way to solve inductive problems well is to be biased. Because the available evidence isn't enough to determine the right answer, you need to have predispositions that are independent of that evidence. And how well you solve the problem—how often your guesses are correct—depends on having biases that reflect how likely different answers are.
Human beings are very good at solving inductive problems. In finding objects in images and interpreting natural language are two problems that people still solve better than computers. And the reason is that human minds have biases that are finely tuned for solving these problems.
The biases of the human visual system are apparent in many visual illusions—images that result in a surprising discrepancy between our biased guesses and what's actually in the world. The rarity of visual illusions in real life is testimony to the utility of those biases. By studying the kinds of illusions the human visual system is susceptible to, we can identify the biases that guide perception and instantiate those biases in algorithms used by computers.
Human biases in interpreting language are demonstrated in the game of Telephone, or when we misinterpret the lyrics of a song. It's also easy to discover the biases that have been built into speech recognition software. I once left my office for a meeting, locking the door behind me, and came back to find a stranger had broken in and typed a series of poetic sentences into my computer. Who was this person, and what did the message mean? After a few spooky, puzzling minutes, I realized that I had left my speech recognition software running, and the sentences were the guesses it had produced about what the rustling of the trees outside my window meant. But the fact that they were fairly intelligible English sentences reflected the biases of the software, which didn't even consider the possibility that it was listening to the wind rather than a person.
Things that people do well—vision and language—depend heavily on being biased towards particular answers. Algorithms that solve those problems well have similar biases. So we shouldn't be surprised to discover that people are systematically biased in other domains. These biases don't necessarily reflect a deviation from rationality—they reflect the difficulty of the problems that humans need to solve. And one way to make computers better at solving these problems is understanding exactly what human biases are like for different problems.
In arguing that bias isn't always bad, I'm not claiming that it is always good. Objectivity can be an ideal that we strive for on moral grounds—say, when assessing other people. The more information and time we have available, the closer we can get to this ideal. But this kind of objectivity is a luxury, at odds with reaching the right answers in limited time from small amounts of evidence. When solving inductive problems, it can be rational to be biased.
 "
 Aesthetic Motivation ,"  
The standard model of particle physics has aesthetic shortcomings that leave us with questions: Why so many free parameters? Why not an elegant, single fundamental force to account for all forces? Why three generations of quarks and leptons? Now that we have a mechanism for how fundamental particles acquire mass, why do they have those particular couplings to the Higgs field, covering such a huge range of masses? Why the even more extreme range of strengths of the fundamental forces? The common potential danger with each of these questions is the answer, ""That's just the way it is.""
	In addition to these aesthetic concerns we have contradictions between observation and prediction in the explored universe: We have not found a source of energy to fuel our accelerating expansion. There is insufficient baryonic matter to explain astronomical observations. Sticking with the topic of matter, we thankfully live in a large pocket of it that shouldn't have survived annihilation. In fact, we see matter dominance everywhere we look and have no sufficient source of matter vs. anti-matter asymmetry to account for this. We may never access solutions to this set of problems, but it is clear that accounting for each of them requires at least a tweak and at best a fundamental re-write of existing models. Their issues go beyond inelegance.
	Experimentalists, myself included, have been chasing aesthetically motivated, or partially aesthetically motivated, theories through the data. With a few years of running the Large Hadron Collider at the energy frontier and a host of careful measurements in particle, nuclear and atomic physics carried out all over the globe, large regions of ""new physics"" parameter space have been recently excluded. Theorists have answered with pivots and extensions, adapting their proposed models in ways that push us to more challenging experimental conditions.
	This exchange has felt healthy and has definitely been fun. The close interactions have allowed for fast progress testing new ideas. Even though these searches for non-standard model physics have resulted in new limits rather than discovery, it has been thrilling to make measurements that might provide evidence toward a grand unified theory. However, our current era of scare resources requires tighter thinking. I think it's time to more carefully scrutinize our theoretical foundations.
	Of course, including aesthetic considerations in the scientific toolbox has resulted in huge leaps forward. The drive for elegance has repeatedly enabled scientists to uncover underlying structure. The permission to consider aesthetics is part of what drew many of us to becoming scientists in the first place. I'm not arguing to abandon it forever. But we are currently in a data-rich period in particle physics after years (at least at the energy frontier) of being data-poor. Ensuring that data get the final say is more fundamental than anything else in the practice of science and the data we have in-hand have the potential to say a lot about the standard model. There is even more on the line when we consider which experiments to pursue next.
	At this stage, with 96% of the universe's content in the dark, it is a mistake for us to put aesthetic concerns in the same realm as contradictions when it comes to theoretical motivation. With no explanation for dark energy, no confirmed detection of dark matter and no sufficient mechanism for matter/anti-matter asymmetry, we have too many gaps to worry about elegance. Theorists will keep pushing on grand unified theories, including developing the mathematics that will enable further progress. Experimentalists have an opportunity and responsibility to provide direction through agnostic hunts for discrepancies between our data and standard model predictions. This includes, of course, measuring the hell out of the newly discovered Higgs Boson.
	It is time for us to admit that some of the models we have been chasing from our brilliant theory colleagues might actually be (gorgeous) Hail Mary passes to the universe. Our next significant jump of understanding will likely come because we are forced there by painstakingly determined constraints from the data rather than by a lucky good catch.
 "
" ""Our"" Intuitions ","  
There is a strategy for defending philosophical views that has been around since antiquity. It's used to support rules for reasoning (in science and elsewhere) and moral principles, and to defend accounts of phenomena, like knowledge, causation and meaning. Recent findings have made it increasingly clear that, after 2500 years, it's a strategy ready for retirement.
Here's how it works. A case, sometimes real, often imaginary, is described, and the philosopher asks: What we would say about that case? Does the protagonist in the story really have knowledge? Is the behavior of the protagonist morally permissible? Did the first event cause the second? When things go well, the philosopher and his audience will make the same spontaneous judgment about the case.
Contemporary philosophers call those judgments ""intuitions"" And in philosophical theorizing, our intuitions are an important source of evidence. If a philosopher's theory comports with our intuition, the theory is supported; if the theory entails the opposite judgment, the theory is challenged. If you have ever taken a philosophy course, you'll likely find this method very familiar. But it's not just a method that philosophers use in the classroom. At a recent colloquium in my department, I sat in the back and counted the appeals to our intuition made by a rising star in the philosophical profession during a 55 minute talk. There were 26—roughly one every two minutes.
That's a lot of intuition mongering, though it is hardly unusual in contemporary philosophy. Another thing about the talk that was not at all unusual was that the speaker never once told us who ""we"" are. When a philosopher makes claims about ""our"" intuitions about knowledge or causation or moral permissibility, whose intuitions is he talking about? Until very recently, philosophers have almost never confronted that question. But if they had, their answer would likely have been very inclusive. The intuitions we use as evidence in philosophy are the intuitions that all rational people would have, provided they are paying attention and have a clear understanding of the case that evokes the intuition. According to contemporary defenders of this methodology, intuitions are rather like perceptions. They are shared by just about everyone.
Some of us have long thought that there was room for a fair amount of skepticism here. How could philosophers, seated comfortably in their armchairs, be so confident that all rational people share their intuitions? This skepticism was reinforced with the emergence of cultural psychology over the last three decades. Culture, it turns out, runs deep, and it affects a wide array of psychological processes, ranging from reasoning to memory to perception.
Moreover, in an important article, Henrich, Heine and Norenzayan have made a persuasive case that WEIRD people—people in cultures that are Western, Educated, Industrialized, Rich and Democratic are outliers on a wide range of psychological tasks. WEIRD people, they argue, are ""the weirdest people in the world."" And philosophers are overwhelmingly WEIRD. They are also overwhelmingly white, predominantly male and have all survived years of undergraduate and graduate training in settings where people who don't share the professionally favored intuitions are sometimes at a considerable disadvantage. Could it be that these factors, singly or in combination, explain the fact that professional philosophers, and their successful students, share lots of intuitions?
About a decade ago, this question led a group of philosophers, along with sympathetic colleagues in psychology and anthropology, to stop assuming that their intuitions were widely shared and design studies to see if they really are. In study after study, it turned out that philosophical intuitions do indeed vary with culture and other demographic variables. A great deal more work will be needed before we have definitive answers about which philosophical intuitions vary, and which, if any, are universal.
There are lots of important intuitions to look at, lots of cultural and demographic groups to consider, and lots of methodological pitfalls to discover and avoid. But, not surprisingly, the early efforts of these ""experimental philosophers"" have not been warmly welcomed by philosophers deeply invested in the traditional intuition-based method. One leading philosopher proclaimed that experimental philosophers ""hate philosophy."" He and others have also staked out a fallback position which insists that it doesn't much matter what we discover about the intuitions of ordinary people, or of people in other cultures, because professional philosophers are the experts in making judgments about knowledge, morality, causation and the rest, so only their intuitions are to be taken seriously. 
It will be a long time before the dust settles in this dispute. But one conclusion on which perhaps most of those involved can agree is that it's time to stop talking about ""our"" intuitions without bothering to say who ""we"" are.   
	 
 "
 Left-Brain/Right-Brain ,"  
Most people will have heard about the left-brain/right-brain idea. Maybe they have been told they're too 'left-brained' or want to be more 'right-brained'. The idea has made it into everyday parlance, has infiltrated schools everywhere, sells a lot of self-help books, and has even been used as the basis of scientific theories, for example with regards to gender differences in the brain. Yet it is an idea that makes no physiological sense.
Scientific lingo about how the two sides of the brain—the hemispheres—function has permeated mainstream culture, but the research is often wildly over-interpreted. The notion that the two hemispheres of the brain are involved in different 'modes of thinking' and that one hemisphere dominates over the other has become widespread, in particular in schools and the workplace. There are numerous websites where you can find out whether you are left-brained or right-brained and that offer to teach you how to change this.
This is pseudo-science and is not based on knowledge of how the brain works. While it is true that the brain is made up of two hemispheres and one hemisphere is often initially active before the other during actions, speech and perception, both sides of the brain work together in almost all situations, tasks and processes. The hemispheres are in constant communication with each other and it simply is not possible for one hemisphere to function without the other hemisphere 'joining in', except in certain rare patient populations. In other words, you are not right or left-brained. You use both sides of the brain.
Some people have proposed that education currently favours left-brain modes of thinking, which are supposed to be logical, analytical and accurate, while not putting enough emphasis on right-brain modes of thinking, which are supposed to be creative, intuitive, emotional and subjective. Certainly education should involve a wide variety of tasks, skills, learning and modes of thinking. However, it is just a metaphor to refer to these as right-brain or left-brain modes. Patients who have had a lesion in their right hemisphere are not devoid of creativity. Patients with a damaged left hemisphere might be unable to produce language (which relies on the left hemisphere in over 90% of the population) but can still be analytical.
Whether left-brain/right-brain notions should influence the way people are educated is highly questionable. There is no validity in categorizing people in terms of their abilities as either a left-brain or a right-brain person. In terms of education, such categorization might even act as an impediment to learning, not least because it might be interpreted as being innate or fixed to a large degree. Yes, there are large individual differences in cognitive strengths. But idea that people are left-brained or right-brained needs to be retired.
 "
 Evolution is True ,"  
Politicians, poets, philosophers and the religious often like to talk about the truth. In contrast, most scientists would think it overblown to describe a field of research as being 'true', though they do all seek the truth of mathematics: for example, quantum theory is true in the sense that experiment after experiment supports its predictions about how the world works, no matter how odd, unsettling or counterintuitive.
	In the same way, when I studied chemistry at university, I was never told about the truth of the Periodic Table, though I did marvel at how Mendeleev had glimpsed the electronic structure of atoms. But why do some biologists talk about the truth so much when it comes to evolution? After all, one can hardly say that everything that is written about evolution is ""true"". But it is a mistake to counter irrational beliefs with rhetoric about the Truth.
	Intelligent design and other Creationist critiques have been easily shrugged off and the facts of evolution well established in the laboratory, fossil record, DNA record and computer simulations. If evolutionary biologists are really Seekers of the Truth, they need to focus more on finding the mathematical regularities of biology, following in the giant footsteps of Sewall Wright, JBS Haldane, Ronald  Fisher and so on.
	The messiness of biology has made it relatively hard to discern the mathematical fundamentals of evolution. Perhaps the laws of biology are deductive consequences of the laws of physics and chemistry. Perhaps natural selection is not a statistical consequence of physics, but a new and fundamental physical law. Whatever the case, those universal truths—'laws'—that physicists and chemists all rely upon appear relatively absent from biology.
	Little seems to have changed from a decade ago when the late and great John Maynard Smith wrote a chapter on evolutionary game theory for a book on the most powerful equations of science: his contribution did not include a single equation. 
Yet there are already many mathematical formulations of biological processes and evolutionary biology will truly have arrived the day that high school students learn the Equations of Life in addition to Newton's Laws of Motion.
	Moreover, if physics is an example of what a mature scientific discipline should look like, one that does not waste time and energy combating the agenda of science-rejecting creationists, we also need to abandon the blind adherence to the idea that the mechanisms of evolution are Truths that lie beyond discussion.
 Gravity, like evolution, exists but Newton’s view of gravitation was absorbed into another view that Einstein devised a century ago. Even today, however, there is debate about whether our understanding of gravity will have to be modified again, when we are finally enlightened about the nature of the dark universe. 
 "
 Long-Term Memory Is Immutable ,"  
For over a century psychological theory held that once memories are consolidated from a short-term into long-term form, they remain stable and unchanging. Whether certain long-term memories are very slowly forgotten or are always present but cannot be retrieved was a matter of debate.
For the last 50 years, research on the neurobiological basis of memory seemed to support the psychological theory. Short-term memory was found to be mediated by biochemical changes at synapses, modifying their strength. Long-term memory was strongly correlated with long-term changes in the number of synapses, either increases or decreases. This intuitively made sense. Biochemical changes were rapid and could be quickly reversed, just like short-term memories. On the other hand, synapses although small were anatomical structures, visible under the microscope, and thus were thought to be stable for weeks, perhaps for years. Short-term memories could easily be prevented from consolidating into the long-term by dozens of inhibitors of different signaling molecules. In contrast, there was no known agent that erased a long-term memory.
Two recent lines of evidence have relegated this dominant theory of long-term memory ready for retirement. First is the discovery of reconsolidation. When memories are recalled, they undergo a brief period in which they are once again susceptible to disruption by many of the same biochemical inhibitors that affect the initial conversion of short- into long-term memory. This means that long-term memories are not immutable, but can be converted into short-term memory, and then reconverted back into long-term memory. If this reconversion doesn't happen, the specific long-term memory is effectively disrupted.
The second is the discovery of a few agents that do indeed erase long-term memories. These include inhibitors of the persistently active enzyme PKMzeta and of a protein translation factor with prion-like properties of perpetuation. Conversely, increasing the activity of the molecules enhances old memories. The persistent changes in synapse number that so strongly correlate with long-term memory may therefore be downstream of persistent biochemical changes. That memory erasing agents are so few suggests that there may be a relatively simple mechanism for long-term memory storage involving not hundreds of molecules as in short-term memory, but only a handful, perhaps working together.
Memory reconsolidation allows specific long-term memories to be manipulated. Memory erasure is extraordinarily potent and likely disrupts many, if not all long-term memories at the same time. When these two fields are combined, specific long-term memories will be erased or strengthened in ways never conceivable in prior theories.
 "
" ""The Rocket Scientist"" ","  
It's time for ""The Rocket Scientist"" to retire.
This is ""The Rocket Scientist"" of cliche fame: ""It doesn't take a Rocket Scientist to know...."" 
""The Rocket Scientist"" is a personage rather than a principle, and a fictitious personage at that. He (or she) was constructed by popular usage, not by scientists. Still, the cliche perpetuates outdated public perceptions of scientific principles, and that's critical. ""The Rocket Scientist"" needs a good retirement party.
I'll start with a disclaimer. My dreams of that retirement gala may appear tinged with professional envy. I have never heard anyone say, ""It doesn't take an Ethnohistorian to know....""  I never will. So yes, the cliche does slight the humanities—but that's not my concern. Rather, ""The Rocket Scientist,"" as popularly conceived, dangerously slights the sciences. Our earth cannot afford that.
""The Rocket Scientist"" stands outside society, frozen on a higher plane. Widely embraced and often repeated, the cliche reflects a general public's comfort with divorcing science from personal experience. The cliche imposes a boundary (of brilliance) between the scientist and everyone else.
This makes for popular movies and television shows, but it's insidious. Artificially constructed boundaries isolate. They focus attention on differences and distinctions. In contrast, it's the exploration of relationships and process that feeds rapid scientific developments today: systems biology, epigenetics, neurology and brain research, astronomy, medicine, quantum physics. Complex relationships also shape the urgent challenges identified in this year's Edge question. Global epidemics, climate change, species extinction, finite resources—these all comprise integral interconnections.
Approaching such problems demands an appreciation of diversity, complexity, relationships and process. Popular understanding of contemporary science demands the same. We can only address urgent global issues when policy-makers see science clearly—when they view diversity, complexity, relationships and process as essential to understanding, rather than as obstacles to it.
At present, though, constructed boundaries pervade our institutions and policy structures, not only our cliches. Examples abound. Universities segment researchers and students into disciplinary compartments with discreet budgetary line items, competing for scarce resources. (""Interdisciplinary"" makes a good buzzword, but the paradigm on which our institutions rest militates against it.) The model of nations negotiating as autonomous entities has failed abysmally to address climate change. In my provincial government’s bureaucracy, separate divisions oversee oceans and forests, as if a fatal barrier slices the ecosystem at the tideline.
Time suffers, too. Past gets alienated from present, and present from future, as our society zooms in on short term fiscal and political deadlines. Fragmented time informs all other challenges, and makes them all the more dire.
So much of our society still operates on a paradigm of simplification, compartmentalization and boundaries, when we need a paradigm of diversity, complexity, relationships and process. Our societal structures fundamentally conflict with the messages of contemporary science. How can policy-makers address crucial global issues while ignoring contemporary scientific principles?
The real world plays out as a video. The relationships between frames make the story comprehensible. In contrast, ""The Rocket Scientist"" stands like a snapshot, fictitiously yet firmly alone on a lofty pinnacle: apart from society, not a part of it. Yes, it's just a cliche, but language matters, and jokes instruct. It's time for ""The Rocket Scientist"" to retire.
I'll close with another disclaimer. I mean no offense to real rocket scientists. (Some of my best friends have been rocket scientists!) Real rocket scientists exist. They inhabit the real world, with all the attending interconnections, relationships and complexities. ""The Rocket Scientist"" embodies the opposite. We'll all be well served by that retirement.
	 
 "
 Continuity of Time ,"  
Principia Mathematica Philosophiae Universalis by Isaac Newton is one of the fundamental works of modern science, and this is true not only for physics, but also for philosophy and the foundations of reasoning. Newton gives in ""Scholium"" the following definition: ""Absolute, true, and mathematical time, of itself, and from its own nature, flows equably without relation to anything external."" The underlying concept of continuity of time is expressed in mathematical formula describing for instance physical processes. This concept of continuity is almost never questioned.
The Newtonian concept of continuity of time is also implicitly assumed by Immanuel Kant, when he refers to time as an ""apriori form of perception"" in his Critique of Pure Reason. We read in the translation: ""Time is not an empirical conception. For neither coexistence nor succession would be perceived by us, if the representation of time did not exist as a foundation à priori... Time is a necessary representation, lying at the foundation of all our intuitions.""  
The concept of continuity of time is also hidden in another famous quotation ín psychology; William James writes in Principles of Psychology when he refers to the present: ""In short, the practically cognized present is no knife-edge, but a saddle-back, with a certain breadth of its own on which we sit perched, and from which we look into two directions into time. The unit of composition of our perception of time is a duration, with a bow and a stern, as it were—a rearward—and forward-looking end...We seem to feel the interval of time as a whole, with its two ends embedded in it."" Here we are confronted with the idea of a traveling moment, i.e. a temporal interval of finite duration is moving gradually through physical time (and not jumping), again assuming continuity of time. But is it really true and can it be used to understand neural and cognitive processes?
This theoretical concept of continuity of time in biological and psychological processes—usually appearing as an implicit assumption or as an ""unasked question""—is wrong. The answer is very simple if one takes a look at the way organisms process information to overcome the complexity and temporal uncertainty of stimuli in the physical world. One source of complexity comes from stimulus transduction, which is principally different in the sensory modalities like audition or vision, taking less than one millisecond in the auditory system and more than twenty milliseconds in the visual system. Thus, auditory and visual signals arrive at different times in central structures of the brain.
Matters become more complicated by the fact that the transduction time in the visual modality is flux-dependent, since surfaces with less flux require more transduction time at the receptor surface. Thus, to see an object with areas of different brightness or to see somebody talking, different temporal availabilities of local activities within the visual modality and similarly different local activities across the two modalities engaged in stimulus processing must be overcome. For intersensory integration, aside from these biophysical problems, physical problems also have to be considered. The distance of objects to be perceived is obviously never pre-determined. Thus, the speed of sound (not of light) becomes a critical factor.
At a distance of approximately ten to twelve meters, transduction time in the retina under optimal optical conditions corresponds to the time the sound takes to arrive at the recipient. Up to this ""horizon of simultaneity,"" auditory information is earlier than visual information; beyond this horizon, visual information arrives earlier in the brain. Again, there must be some kind of mechanism that overcomes the temporal uncertainty of information represented in the two sensory modalities. How can this problem be solved? The best way of the brain is to step out of the mode of continuous information processing.
The brain has indeed developed specific mechanisms to reduce complexity and temporal uncertainty by creating system states (possibly using neuronal oscillations) within which ""Newtonian time"" does not exist. Within such system states temporally and spatially distributed information can be integrated as experimental evidence shows. These states are ""atempora"" because the before-and-after relationship of stimuli processed within such states is not defined or definable. This biological trick implies that time does not flow continuously, but it jumps from one atemporal system state to the next.
	 
 "
 Simple Answers ,"  
More precisely, the notion that there are simple answers to complex problems. The universe is complicated. Whether you are interested in the functioning of a cell, the ecosystem in Amazonia, the climate of the Earth or the solar dynamo, almost all of the systems and their impacts on our lives are complex and multi-faceted. It is natural for us to ask simple questions about these systems, and many of our greatest insights have come from the profound examination of such simple questions. However, the answers that have come back are never as simple. The answer in the real world is never ""42"".
Yet collectively we keep acting as though there are simple answers. We continually read about the search for the one method that will allow us to cut through the confusion, the one piece of data that tell us the 'truth', or the final experiment that will 'prove' the hypothesis. But almost all scientists will agree that these are fool's errands—that science is method for producing incrementally more useful approximations to reality, not a path to absolute truth.
In contrast, our public discourse is dominated by voices who equate clarity with seeing things as either good or bad, day or night, black or white. They are not simply ignoring the shades of gray, but are missing out on the whole wonderful multi-hued spectrum. By demanding simple answers to complex questions we rob the questions of the qualities that make them interesting, reducing them to cliched props for other agendas.
Scientists sometimes play into this limiting frame when we craft our press releases or pitch our popular science books, and in truth it is hard to avoid. But we should be more vigilant. The world is complex, and we need to embrace that complexity to have any hope of finding any kind of robust answers to the simple questions that we, inevitably, will continue to ask.
 "
 The Self ,"  
It seems almost redundant to call for the retirement of the free willing self as the idea is neither scientific nor is this the first time that the concept has been dismissed for lacking empirical support. The self did not have to be discovered as it is the default assumption that most of us experience, so it was not really revealed by methods of scientific enquiry. Challenging the notion of a self is also not new. Freud's unconscious ego has been dismissed for lacking empirical support since the cognitive revolution of the 1950s.
Yet, the self, like a conceptual zombie, refuses to die. It crops up again and again in recent theories of decision-making as an entity with free will that can be depleted. It re-appears as an interpreter in cognitive neuroscience as capable on integrating parallel streams of information arising from separable neural substrates. Even if these appearances of the self are understood to be convenient ways of discussing the emergent output of multiple parallel processes, students of the mind continue to implicitly endorse that there is a decision-maker, an experiencer, a point of origin.
We know that the self is constructed because it can be so easily deconstructed through damage, disease and drugs. It must be an emergent property of a parallel system processing input, output and internal representations. It is an illusion because it feels so real, but that experience is not what it seems. The same is true for free will. Although we can experience the mental anguish of making a decision, our free will cannot be some kind of King Solomon in our mind weighing up the pros and cons as this would present the problem of logical infinite regress (who is inside their head and so on?). The choices and decisions we make are based on situations that impose on us. We do not have the free will to choose the experiences that have shaped our decisions.
Should we really care about the self? After all, trying to live without the self is challenging and not how we think. By experiencing, evoking and talking about the self, we are conveniently addressing a phenomenology that we can all relate to. Defaulting to the self in explanations of human behavior enables us to draw an abrupt stop in the chain of causality when trying to understand thoughts and actions. How notable that we do this all so easily when talking about humans but as soon as we apply the same approach to animals, one gets accused of anthropomorphism!
By abandoning the free willing self, we are forced to re-examine the factors that are really behind our thoughts and behavior and the way they interact, balance, over-ride and cancel out. Only then we will begin to make progress in understanding how we really operate.
 "
 Beauty is in the Eyes of the Beholder ,"  
For most of the past century, mainstream social scientists have assumed that attractiveness is superficial, arbitrary, and infinitely variable across cultures. Many still cling to these views. Their appeal has many motivations. First, beauty is undemocratically distributed, a violation of the belief that we are all created equal. Second, if physical desirability is superficial (""you can't judge a book by its cover""), its importance can be denigrated and dismissed, taking a back seat to deeper and more meaningful qualities. Third, if standards of beauty are arbitrary and infinitely variable, they can be easily changed.
Two movements in the 20th century seemed to lend scientific support for these views. The first was behaviorism. If the content of human character was built through experienced contingencies of reinforcement during development, those contingencies must have created standards of attractiveness. The second was seemingly astonishing ethnographic discoveries of cross-cultural variability in attractiveness. If the Maori in New Zealand found particular types of lip tattoos attractive and the Yanomamo of the Amazon rain forest prized nose or cheek piercings, then surely all other beauty standards must be similarly arbitrary.
The resurgence of sexual selection theory in evolutionary biology, and specifically the importance of preferential mate choice, created powerful reasons to question the theoretical position long held by social scientists. We now know that in species with preferential mate choice, from scorpionflies to peacocks to elephant seals, physical appearance typically matters greatly. It conveys critical reproductively valuable qualities such as health, fertility, dominance, and 'good genes.' Are humans a bizarre exception to all other sexually reproducing species?
Evolutionary theorizing, long antedating the hundreds of empirical studies on the topic, suggested that we were not. In mate selection, Job One, as someone in business might say, is the successful selection of a fertile partner. Those who failed to find fertile mates left no descendants. Everyone alive today is the product of a long and literally unbroken line of ancestors who succeeded. If any had failed at the critical task, we would not be here today. As evolutionary success stories, each modern human has inherited the mate preferences of their successful ancestors.
Cues recurrently observable to our ancestors that were reliably, statistically, probabilistically correlated with fertility, according to this theory, should become part of our evolved standards of beauty. In both genders, these include cues to health—symmetrical features and absence of sores and lesions, for example. Since fertility is sharply age-graded in women, more so than in men, cues to youth should figure prominently in gender-specific standards of attractiveness. Clear skin, full lips, an unclouded sclera, feminine estrogen-dependent features, a low waist-to-hip ratio, and many other cues to female fertility are now known to be pieces of the puzzle of universal standards of female beauty.
Women's evolved standards of male attractiveness are more complex. Masculine features, hypothesized to signal healthy immune functioning in men, are viewed as attractive more by women seeking short-term than long-term mates, more when women are ovulating than when in the luteal phase of their menstrual cycle, and more by women higher in mate value, perhaps because of their ability to attract and control such men. Women's judgments of men's attractiveness are more dependent on multiple contexts—cues to social status, the attention structure, positive interactions with babies, being seen with attractive women, and many others. The greater complexity and variability of what women find attractive in men is reflected in another key empirical finding—there is far less consensus among women about which men are attractive than among men about which women are attractive.
The theory that 'beauty is in the eyes of the beholder' in the sense of being superficial, arbitrary, and infinitely culturally variable can safely be discarded. I regard it as one of the 'great myths' perpetrated by social scientists in the 20th century. Its scientific replacement—that beauty is 'in the adaptations of the beholder' as anthropologist Donald Symons phrases it—continues to be disturbing to some. It violates some of our most cherished beliefs and values. But then so did the notion that the earth was not flat or the center of the universe.
 "
